Frame,TopLeftCornerX,TopLeftCornerY,suc,Length,Height
47,699.5,145.5,0,21,24
48,252.5,82.5,1,80,25
48,650.5,234.5,0,70,62
49,0.5,307.5,1,21,42
49,57.5,251.5,0,130,95
49,203.5,281.5,1,49,38
49,221.5,197.5,0,35,27
49,234.5,177.5,1,98,70
49,360.5,143.5,0,37,24
49,598.5,115.5,1,107,46
52,148.5,63.5,0,115,81
52,419.5,187.5,1,29,23
52,492.5,247.5,1,28,23
52,548.5,271.5,1,41,46
52,669.5,391.5,1,43,39
52,695.5,427.5,1,25,31
56,373.5,252.5,0,69,60
57,231.5,20.5,1,45,35
57,514.5,216.5,0,87,49
57,535.5,171.5,0,32,38
57,590.5,214.5,0,39,41
57,606.5,269.5,1,85,61
57,695.5,315.5,0,25,42
58,356.5,56.5,0,24,21
59,559.5,199.5,0,34,27
59,613.5,193.5,1,45,54
59,678.5,219.5,0,42,33
61,404.5,91.5,1,57,39
61,490.5,87.5,1,36,33
61,625.5,107.5,1,24,21
62,0.5,247.5,1,26,29
62,45.5,225.5,0,59,24
62,187.5,158.5,0,51,48
62,318.5,113.5,1,32,28
62,437.5,148.5,0,37,23
62,473.5,81.5,0,28,21
62,669.5,14.5,0,51,112
64,143.5,311.5,1,112,55
65,573.5,374.5,0,27,28
67,584.5,0.5,0,88,43
68,534.5,92.5,1,40,47
68,616.5,127.5,0,29,21
69,485.5,176.5,0,49,52
69,552.5,187.5,1,39,25
70,2.5,296.5,0,62,90
70,65.5,329.5,1,34,33
70,312.5,146.5,0,55,38
70,333.5,209.5,0,49,22
71,539.5,230.5,1,33,25
74,169.5,129.5,0,28,23
74,198.5,114.5,0,83,42
75,0.5,16.5,0,82,134
75,82.5,51.5,0,54,36
75,130.5,113.5,1,135,34
75,552.5,133.5,1,34,22
75,573.5,161.5,1,67,27
76,19.5,189.5,1,48,41
76,333.5,230.5,0,43,30
77,34.5,79.5,0,37,30
77,163.5,37.5,0,48,26
77,387.5,2.5,1,49,25
78,53.5,276.5,0,42,23
78,95.5,276.5,1,66,22
78,201.5,222.5,0,63,47
78,601.5,343.5,1,119,69
78,630.5,305.5,0,26,21
79,182.5,195.5,1,35,29
80,61.5,240.5,0,86,40
81,0.5,321.5,1,45,30
81,504.5,214.5,0,27,26
82,433.5,201.5,1,140,46
85,34.5,194.5,0,88,25
85,206.5,132.5,1,34,29
85,259.5,154.5,1,54,25
85,350.5,168.5,1,69,31
85,428.5,83.5,1,124,109
85,552.5,146.5,1,27,26
85,587.5,144.5,0,35,30
85,628.5,144.5,1,35,29
86,410.5,51.5,0,37,37
86,430.5,85.5,0,56,43
86,460.5,75.5,0,33,21
86,499.5,88.5,1,24,23
86,642.5,155.5,0,21,22
88,52.5,370.5,0,378,110
89,0.5,82.5,0,265,257
89,209.5,139.5,1,73,40
89,281.5,154.5,0,69,31
89,365.5,169.5,1,56,33
89,440.5,180.5,1,179,97
89,619.5,220.5,1,40,46
89,676.5,292.5,1,43,29
90,25.5,419.5,0,35,22
90,220.5,294.5,0,47,29
90,432.5,232.5,1,123,114
91,403.5,128.5,0,26,21
92,505.5,0.5,0,215,217
93,0.5,8.5,0,38,46
93,0.5,55.5,1,23,46
93,1.5,53.5,0,124,62
93,121.5,44.5,0,144,65
93,202.5,3.5,1,66,23
93,321.5,0.5,0,63,27
95,0.5,155.5,0,32,61
95,91.5,60.5,1,42,23
95,680.5,93.5,0,40,66
96,180.5,4.5,1,34,28
98,97.5,103.5,0,43,29
100,166.5,25.5,0,37,37
101,552.5,162.5,1,32,30
102,19.5,413.5,0,31,30
103,0.5,96.5,0,67,70
105,192.5,151.5,0,82,72
105,248.5,118.5,0,43,29
107,166.5,19.5,1,75,56
107,421.5,96.5,1,54,31
107,474.5,117.5,1,36,24
109,12.5,327.5,1,68,59
109,73.5,264.5,0,44,25
109,120.5,249.5,0,87,74
109,153.5,222.5,0,61,32
110,28.5,278.5,1,62,58
110,341.5,178.5,0,32,21
111,68.5,80.5,1,56,42
111,347.5,27.5,0,29,21
111,466.5,10.5,1,26,21
111,601.5,2.5,0,25,25
116,0.5,54.5,1,34,36
117,59.5,239.5,0,23,25
118,0.5,373.5,1,54,28
118,64.5,299.5,0,300,181
118,656.5,234.5,1,64,246
119,71.5,160.5,0,52,32
119,149.5,254.5,1,43,21
119,178.5,129.5,1,148,117
119,350.5,153.5,1,56,52
119,403.5,181.5,1,57,43
119,504.5,226.5,1,71,68
119,562.5,310.5,0,112,79
119,671.5,332.5,1,47,46
122,0.5,206.5,0,27,93
122,449.5,92.5,0,270,155
122,520.5,5.5,0,108,85
122,646.5,52.5,1,41,35
123,39.5,91.5,0,40,34
123,157.5,169.5,0,96,37
123,254.5,141.5,0,91,75
123,351.5,161.5,1,136,125
123,672.5,257.5,0,48,77
124,31.5,121.5,1,24,25
124,149.5,96.5,1,102,56
124,248.5,103.5,1,48,37
124,427.5,112.5,1,57,26
124,484.5,132.5,0,67,32
126,484.5,110.5,0,62,62
127,109.5,56.5,1,96,100
127,234.5,182.5,0,486,298
127,327.5,153.5,0,174,76
127,663.5,78.5,0,39,27
128,4.5,115.5,1,135,103
128,119.5,103.5,0,59,57
128,253.5,61.5,0,84,67
128,403.5,60.5,1,43,26
130,17.5,389.5,0,160,91
130,252.5,246.5,0,62,34
130,263.5,306.5,1,172,116
130,493.5,408.5,0,116,31
131,356.5,277.5,1,35,28
131,474.5,286.5,0,33,24
132,286.5,70.5,0,41,21
132,293.5,23.5,1,49,53
132,342.5,68.5,0,72,76
132,568.5,137.5,0,30,31
132,578.5,192.5,0,31,35
133,554.5,256.5,0,37,36
134,154.5,326.5,1,71,40
134,205.5,304.5,1,39,24
135,575.5,207.5,1,36,24
136,311.5,202.5,1,35,34
136,558.5,311.5,0,26,24
136,580.5,358.5,0,57,40
136,672.5,347.5,0,25,28
138,0.5,292.5,1,85,104
138,52.5,168.5,0,208,169
138,123.5,156.5,1,87,55
138,249.5,51.5,0,72,69
139,0.5,405.5,1,62,54
139,112.5,266.5,0,33,21
139,224.5,235.5,1,66,48
139,253.5,332.5,0,97,79
139,450.5,345.5,1,88,42
140,219.5,192.5,0,38,24
140,443.5,252.5,1,66,61
141,127.5,107.5,0,104,87
141,318.5,0.5,1,60,52
141,556.5,34.5,1,86,32
141,689.5,41.5,1,31,27
142,546.5,152.5,1,68,26
143,579.5,229.5,1,134,50
144,377.5,155.5,0,101,53
144,463.5,88.5,1,125,134
144,557.5,191.5,0,50,49
144,589.5,208.5,0,50,55
147,453.5,4.5,0,203,134
149,0.5,133.5,1,26,28
149,136.5,192.5,0,125,50
149,216.5,146.5,0,32,21
149,581.5,208.5,0,49,43
149,678.5,227.5,1,42,56
152,5.5,212.5,0,51,23
152,310.5,86.5,1,50,28
152,427.5,66.5,1,39,34
152,693.5,126.5,1,27,22
153,12.5,53.5,1,33,21
153,531.5,86.5,0,31,33
153,566.5,94.5,0,28,31
154,10.5,132.5,1,36,31
155,35.5,127.5,0,118,73
155,133.5,0.5,0,223,136
156,255.5,0.5,0,199,32
156,455.5,0.5,1,227,89
157,229.5,0.5,0,45,23
157,352.5,393.5,0,299,87
158,392.5,50.5,1,55,41
158,587.5,88.5,0,85,36
160,70.5,23.5,0,44,45
160,250.5,37.5,1,55,41
160,345.5,47.5,0,24,21
160,445.5,83.5,1,103,30
160,605.5,97.5,0,50,57
160,672.5,132.5,0,48,48
161,22.5,122.5,1,165,63
161,68.5,0.5,0,141,94
162,609.5,29.5,0,34,25
162,641.5,74.5,0,79,43
163,61.5,141.5,0,23,22
163,163.5,131.5,1,56,30
163,223.5,139.5,1,29,30
163,358.5,153.5,1,48,29
164,633.5,273.5,1,87,31
165,24.5,376.5,0,88,35
165,318.5,239.5,0,134,84
167,311.5,182.5,0,40,36
168,153.5,257.5,1,40,37
168,219.5,250.5,0,31,36
168,352.5,250.5,1,43,22
168,370.5,231.5,0,33,26
168,503.5,218.5,1,40,33
170,534.5,282.5,0,100,51
171,546.5,186.5,1,129,71
171,659.5,182.5,0,61,68
174,186.5,75.5,1,36,24
174,292.5,56.5,0,49,54
174,363.5,82.5,1,22,21
174,392.5,190.5,0,58,33
174,447.5,191.5,1,162,74
174,482.5,106.5,1,50,33
174,570.5,111.5,1,65,52
174,641.5,136.5,1,27,28
174,666.5,151.5,1,37,27
178,610.5,0.5,0,60,21
179,122.5,218.5,1,24,29
179,170.5,196.5,0,39,25
179,385.5,108.5,0,26,24
179,536.5,76.5,0,33,25
179,591.5,53.5,1,35,27
182,232.5,213.5,0,185,67
182,654.5,186.5,0,34,21
182,686.5,162.5,0,34,64
183,463.5,98.5,1,25,22
183,556.5,72.5,0,38,31
184,278.5,254.5,1,96,42
185,397.5,154.5,1,86,96
185,583.5,391.5,1,65,53
185,606.5,263.5,1,70,24
185,639.5,393.5,0,81,87
186,479.5,36.5,0,27,21
186,688.5,8.5,1,32,32
187,145.5,193.5,0,91,26
188,354.5,187.5,0,109,67
190,9.5,0.5,0,59,123
190,57.5,194.5,1,71,64
190,194.5,245.5,0,50,41
190,228.5,211.5,0,89,115
191,353.5,188.5,1,74,48
192,8.5,242.5,0,62,30
192,227.5,72.5,0,63,35
192,304.5,74.5,1,31,23
195,290.5,163.5,0,61,22
195,390.5,206.5,1,86,40
196,596.5,202.5,0,31,24
198,489.5,154.5,0,32,27
200,57.5,63.5,1,63,65
200,152.5,37.5,0,53,47
200,420.5,60.5,0,77,25
200,565.5,58.5,0,25,29
200,611.5,119.5,0,69,24
202,267.5,86.5,1,43,25
204,454.5,184.5,1,33,24
204,591.5,285.5,1,34,31
205,115.5,81.5,1,36,34
205,233.5,61.5,0,122,72
205,656.5,86.5,0,64,117
205,662.5,0.5,0,58,66
206,225.5,5.5,1,44,30
206,552.5,35.5,0,36,33
207,672.5,130.5,1,48,35
208,0.5,209.5,0,247,133
208,8.5,112.5,1,61,43
208,50.5,148.5,0,68,35
208,118.5,148.5,1,44,32
208,126.5,355.5,0,148,61
208,244.5,255.5,1,84,50
208,247.5,196.5,0,71,31
212,507.5,72.5,1,30,29
213,172.5,222.5,0,64,32
213,177.5,251.5,1,58,35
213,238.5,218.5,1,45,25
213,457.5,274.5,1,70,52
213,593.5,289.5,1,48,29
214,94.5,124.5,1,31,36
214,96.5,132.5,0,103,77
214,331.5,113.5,1,43,21
214,531.5,93.5,0,73,22
215,331.5,240.5,0,181,219
215,641.5,78.5,0,56,22
216,0.5,88.5,1,53,36
217,235.5,115.5,0,91,42
217,403.5,196.5,0,56,41
218,322.5,173.5,0,43,45
218,482.5,193.5,1,42,50
218,628.5,237.5,0,37,22
220,19.5,49.5,1,37,21
220,63.5,106.5,1,70,21
220,166.5,90.5,1,64,45
220,277.5,120.5,1,36,39
220,400.5,183.5,0,29,21
221,580.5,156.5,0,26,23
223,259.5,247.5,1,87,64
224,395.5,109.5,0,112,48
225,8.5,279.5,0,538,201
225,679.5,57.5,0,37,24
226,0.5,3.5,1,51,33
227,141.5,142.5,0,67,33
227,535.5,195.5,0,122,39
228,13.5,87.5,1,29,23
228,29.5,49.5,0,40,34
228,85.5,41.5,0,33,23
230,0.5,187.5,1,139,44
230,39.5,123.5,0,40,24
230,105.5,228.5,1,86,51
232,53.5,3.5,0,64,56
232,262.5,55.5,0,24,24
232,408.5,101.5,1,38,33
232,444.5,108.5,0,73,59
232,537.5,155.5,0,86,59
232,665.5,234.5,0,25,25
232,688.5,263.5,0,32,24
233,78.5,391.5,1,46,26
233,123.5,424.5,1,75,28
233,200.5,350.5,1,80,56
233,256.5,395.5,1,85,44
233,372.5,323.5,0,49,26
233,386.5,146.5,0,334,334
240,36.5,265.5,0,44,31
240,234.5,134.5,1,35,26
240,275.5,114.5,0,25,29
242,48.5,291.5,1,78,28
243,0.5,325.5,0,70,155
243,46.5,92.5,1,96,50
243,55.5,198.5,0,84,29
243,83.5,96.5,1,269,226
243,165.5,110.5,0,62,40
243,213.5,81.5,1,44,38
243,341.5,179.5,0,101,27
247,601.5,313.5,1,26,21
247,603.5,343.5,0,79,27
247,632.5,298.5,1,29,27
247,670.5,296.5,1,33,36
250,520.5,197.5,1,34,34
250,586.5,261.5,1,62,21
250,659.5,301.5,1,61,33
251,76.5,258.5,0,108,33
251,212.5,206.5,1,97,62
251,341.5,191.5,0,84,65
251,508.5,201.5,0,72,36
251,617.5,204.5,0,97,51
251,619.5,311.5,1,101,52
252,54.5,311.5,0,538,169
254,635.5,45.5,0,26,22
256,0.5,367.5,0,30,33
256,91.5,392.5,1,117,57
256,345.5,287.5,0,118,39
257,100.5,263.5,1,75,27
257,435.5,133.5,1,137,119
257,600.5,162.5,1,35,32
263,215.5,190.5,1,94,26
265,397.5,135.5,0,108,58
265,490.5,114.5,0,60,42
265,588.5,335.5,1,132,145
265,669.5,205.5,0,31,21
266,129.5,227.5,0,37,48
266,378.5,48.5,0,126,76
267,0.5,166.5,1,28,22
268,63.5,116.5,0,50,42
268,280.5,188.5,0,70,44
269,209.5,148.5,1,47,32
269,274.5,157.5,0,38,21
269,306.5,149.5,0,51,25
269,488.5,134.5,1,32,29
269,499.5,162.5,0,83,22
269,609.5,125.5,1,67,63
270,0.5,12.5,0,92,49
271,0.5,299.5,0,58,75
271,28.5,205.5,1,139,137
271,44.5,366.5,0,290,114
271,624.5,111.5,0,73,57
274,415.5,241.5,0,54,26
274,483.5,280.5,0,52,29
274,561.5,292.5,1,34,31
274,674.5,314.5,1,46,69
275,0.5,285.5,1,198,149
275,169.5,124.5,1,58,55
277,259.5,0.5,0,232,173
277,445.5,303.5,0,275,177
277,557.5,57.5,0,41,46
277,659.5,145.5,1,61,24
280,371.5,130.5,0,55,23
280,503.5,112.5,1,60,28
281,464.5,212.5,0,36,28
281,583.5,208.5,1,31,27
283,44.5,249.5,0,108,74
284,136.5,131.5,1,108,27
284,448.5,204.5,0,70,23
285,46.5,185.5,1,30,44
285,84.5,181.5,0,42,28
285,583.5,72.5,1,137,249
286,48.5,58.5,0,29,23
286,157.5,4.5,1,46,28
287,45.5,197.5,1,45,26
287,120.5,166.5,1,223,189
287,439.5,118.5,1,140,92
287,470.5,240.5,1,200,138
287,581.5,149.5,0,39,25
288,684.5,181.5,1,36,24
289,88.5,344.5,0,57,49
289,274.5,33.5,0,51,30
291,0.5,251.5,0,112,127
291,62.5,127.5,1,137,98
291,163.5,49.5,0,64,43
291,169.5,112.5,0,94,44
291,395.5,33.5,0,44,44
291,467.5,79.5,1,88,44
291,580.5,88.5,0,86,68
291,674.5,149.5,1,46,31
291,687.5,225.5,1,33,21
292,405.5,124.5,1,151,72
292,632.5,75.5,1,37,34
292,664.5,74.5,0,33,24
295,0.5,116.5,0,31,33
295,77.5,291.5,1,637,189
295,147.5,45.5,0,44,27
296,147.5,162.5,0,67,38
296,399.5,203.5,0,28,25
297,187.5,291.5,1,67,53
297,254.5,208.5,0,126,45
297,311.5,165.5,0,86,32
299,480.5,132.5,1,47,30
302,252.5,362.5,0,48,66
302,298.5,299.5,0,104,74
302,627.5,91.5,1,53,30
303,29.5,260.5,0,71,92
303,126.5,306.5,1,80,33
303,242.5,244.5,0,45,34
304,375.5,198.5,0,46,26
305,91.5,31.5,1,169,134
305,137.5,202.5,0,167,142
305,243.5,66.5,0,53,35
305,343.5,56.5,0,61,29
305,421.5,52.5,0,299,206
306,0.5,53.5,1,38,38
307,201.5,145.5,1,69,31
307,392.5,99.5,1,27,23
307,414.5,137.5,1,27,22
308,640.5,301.5,0,80,59
309,115.5,39.5,0,35,36
309,143.5,50.5,0,45,30
309,199.5,0.5,1,68,40
310,0.5,145.5,0,64,68
310,0.5,320.5,1,22,52
310,3.5,264.5,0,201,89
310,61.5,164.5,1,24,25
311,519.5,206.5,0,36,23
311,633.5,224.5,1,29,21
312,257.5,86.5,0,80,50
312,294.5,122.5,1,137,27
312,310.5,69.5,0,49,36
315,250.5,45.5,1,103,45
315,251.5,0.5,0,35,25
315,255.5,145.5,1,240,149
315,322.5,18.5,1,37,31
315,549.5,146.5,1,89,54
315,682.5,249.5,1,38,26
316,485.5,100.5,1,33,29
316,528.5,64.5,0,34,32
316,574.5,61.5,1,28,21
316,666.5,117.5,0,54,38
318,0.5,177.5,0,159,107
318,37.5,135.5,0,28,33
318,233.5,113.5,1,58,25
318,275.5,87.5,0,186,136
318,412.5,201.5,0,113,88
318,489.5,148.5,0,90,85
320,35.5,2.5,1,29,47
320,70.5,82.5,0,21,26
320,118.5,123.5,1,55,69
320,124.5,59.5,1,32,47
320,187.5,227.5,1,47,37
320,200.5,430.5,1,113,50
320,259.5,307.5,0,43,46
321,112.5,280.5,0,139,61
321,389.5,208.5,1,28,25
321,487.5,317.5,0,122,32
321,639.5,275.5,0,25,21
322,0.5,430.5,0,33,41
322,12.5,306.5,1,39,29
322,109.5,256.5,0,43,39
322,122.5,296.5,0,81,23
322,229.5,218.5,1,38,30
322,286.5,224.5,0,57,42
322,326.5,228.5,0,71,34
322,365.5,141.5,1,85,79
322,488.5,215.5,0,66,32
322,555.5,15.5,1,165,236
322,678.5,268.5,0,42,125
323,524.5,239.5,0,48,34
323,586.5,340.5,1,134,140
323,630.5,291.5,0,46,39
325,90.5,282.5,0,44,48
325,173.5,292.5,0,25,22
325,215.5,261.5,0,22,22
325,349.5,143.5,1,42,26
325,418.5,106.5,1,56,46
325,459.5,76.5,1,50,45
325,514.5,40.5,1,65,53
325,544.5,96.5,0,38,21
325,681.5,7.5,0,39,37
327,324.5,5.5,0,152,38
328,70.5,63.5,1,25,22
331,22.5,171.5,0,26,27
331,68.5,118.5,1,81,75
331,145.5,69.5,0,98,96
331,254.5,187.5,1,401,192
331,270.5,79.5,0,43,27
331,310.5,60.5,1,69,40
331,667.5,161.5,0,53,56
332,126.5,55.5,1,46,23
333,0.5,223.5,0,49,88
333,73.5,357.5,1,261,82
334,0.5,370.5,0,64,58
336,542.5,204.5,1,25,26
337,522.5,74.5,1,26,26
340,152.5,296.5,1,39,29
340,192.5,293.5,1,66,33
340,490.5,138.5,1,104,107
341,230.5,67.5,0,106,46
341,698.5,410.5,1,22,70
342,603.5,58.5,0,31,24
343,251.5,54.5,0,71,24
345,264.5,51.5,0,181,109
345,696.5,268.5,1,24,25
346,474.5,121.5,0,36,29
348,279.5,132.5,0,31,24
348,450.5,76.5,0,70,28
348,574.5,46.5,1,50,27
348,618.5,39.5,0,33,24
350,1.5,300.5,1,27,26
350,108.5,205.5,1,143,85
350,111.5,303.5,1,188,139
350,274.5,251.5,1,91,52
350,313.5,148.5,0,48,32
350,394.5,122.5,0,47,32
350,443.5,100.5,1,47,38
350,472.5,141.5,0,134,64
350,543.5,50.5,0,49,58
350,651.5,28.5,0,31,30
350,685.5,50.5,1,35,44
351,38.5,31.5,0,251,208
351,290.5,134.5,0,97,49
351,382.5,165.5,1,22,27
351,397.5,116.5,0,31,22
351,563.5,162.5,0,43,34
351,606.5,170.5,1,21,33
351,653.5,203.5,0,28,21
351,674.5,219.5,1,46,30
352,362.5,250.5,0,60,41
352,669.5,291.5,0,51,42
353,257.5,51.5,1,57,32
353,389.5,88.5,0,66,50
353,511.5,105.5,0,29,36
353,542.5,123.5,0,47,49
355,168.5,0.5,0,30,26
355,365.5,52.5,1,39,23
355,676.5,177.5,1,22,23
356,0.5,95.5,1,74,48
356,166.5,15.5,1,82,75
356,200.5,156.5,0,77,21
356,669.5,141.5,0,51,67
357,0.5,283.5,0,121,101
358,0.5,410.5,1,212,70
358,83.5,319.5,0,51,49
358,427.5,263.5,1,60,23
358,547.5,160.5,0,50,58
358,635.5,238.5,1,27,22
358,661.5,198.5,0,45,31
359,0.5,0.5,1,211,291
361,63.5,12.5,0,97,108
362,8.5,451.5,1,41,22
363,77.5,221.5,0,36,23
363,167.5,258.5,1,121,47
363,505.5,367.5,0,148,56
363,515.5,249.5,1,51,40
363,612.5,313.5,1,108,74
365,0.5,96.5,1,68,99
365,138.5,0.5,1,83,40
366,1.5,100.5,1,35,28
370,462.5,129.5,0,85,58
370,635.5,148.5,1,84,71
372,432.5,351.5,0,114,40
372,465.5,276.5,0,36,28
372,527.5,326.5,0,58,30
374,510.5,186.5,1,41,27
375,0.5,46.5,0,37,23
375,28.5,71.5,0,75,35
375,385.5,166.5,0,50,31
375,493.5,223.5,1,37,22
377,132.5,205.5,0,82,22
377,596.5,158.5,1,26,24
378,9.5,350.5,1,82,96
378,81.5,239.5,1,24,22
378,323.5,57.5,1,70,34
378,506.5,0.5,0,36,27
378,534.5,38.5,0,94,26
378,680.5,0.5,1,40,34
379,39.5,136.5,0,99,88
380,221.5,101.5,0,207,124
380,396.5,160.5,0,188,166
382,0.5,249.5,1,46,51
382,55.5,227.5,0,56,39
382,67.5,208.5,0,26,22
382,88.5,189.5,1,33,25
382,137.5,138.5,0,45,42
382,344.5,66.5,0,33,26
382,384.5,41.5,1,85,52
383,459.5,125.5,0,27,28
384,502.5,78.5,1,75,66
384,570.5,99.5,0,44,53
384,612.5,117.5,0,50,52
384,688.5,173.5,1,32,23
386,210.5,109.5,0,39,29
386,302.5,135.5,0,26,21
387,0.5,269.5,0,25,35
387,47.5,203.5,0,34,27
387,74.5,163.5,1,77,51
387,228.5,160.5,1,26,26
387,269.5,133.5,1,81,25
387,343.5,24.5,1,99,96
387,620.5,436.5,0,100,44
388,47.5,119.5,0,38,33
388,119.5,102.5,0,28,29
388,207.5,82.5,1,27,24
388,238.5,100.5,0,65,22
388,279.5,67.5,1,71,22
389,52.5,211.5,0,132,104
389,175.5,206.5,1,106,130
391,168.5,312.5,0,26,23
392,0.5,160.5,1,32,28
392,32.5,107.5,0,91,77
392,38.5,99.5,1,36,30
392,144.5,148.5,0,420,247
392,188.5,68.5,1,24,22
392,231.5,68.5,0,88,44
392,432.5,48.5,1,36,23
392,499.5,332.5,1,221,148
392,556.5,91.5,1,111,32
392,570.5,44.5,1,36,23
392,608.5,40.5,1,22,24
392,668.5,51.5,0,52,105
394,81.5,157.5,1,43,24
394,461.5,177.5,0,38,29
397,0.5,207.5,0,37,51
397,133.5,52.5,0,48,56
399,594.5,152.5,1,37,24
400,0.5,204.5,0,30,21
400,66.5,197.5,0,23,22
400,132.5,281.5,0,141,86
400,139.5,194.5,1,44,24
400,269.5,288.5,0,131,88
400,304.5,196.5,1,86,70
402,157.5,378.5,1,474,102
403,0.5,208.5,1,129,272
406,15.5,74.5,1,53,40
406,306.5,43.5,0,31,32
407,0.5,343.5,0,72,86
407,261.5,272.5,1,63,47
407,344.5,260.5,0,27,23
407,401.5,236.5,0,39,25
407,434.5,212.5,0,57,55
407,514.5,178.5,1,73,50
408,692.5,270.5,0,28,27
409,55.5,100.5,0,69,36
409,135.5,107.5,1,140,38
409,288.5,67.5,0,105,56
409,523.5,74.5,0,41,22
413,398.5,257.5,1,64,51
414,337.5,86.5,0,22,24
414,457.5,68.5,1,31,22
415,279.5,136.5,0,114,90
417,111.5,34.5,0,94,26
417,694.5,1.5,1,26,24
418,65.5,417.5,0,24,21
418,147.5,369.5,0,66,32
418,298.5,296.5,0,92,47
418,499.5,232.5,0,49,32
418,638.5,128.5,1,82,53
420,79.5,250.5,1,311,123
420,341.5,100.5,1,118,160
420,385.5,139.5,1,249,231
421,202.5,0.5,0,34,21
421,397.5,43.5,0,60,25
421,519.5,120.5,0,59,43
421,564.5,130.5,1,68,63
421,592.5,96.5,0,42,42
422,343.5,252.5,1,52,22
422,578.5,298.5,0,58,42
422,634.5,298.5,1,50,56
423,306.5,0.5,0,37,21
425,635.5,47.5,1,30,22
426,424.5,137.5,0,30,46
426,580.5,190.5,1,50,28
428,0.5,238.5,0,23,34
428,14.5,346.5,1,63,50
428,57.5,195.5,0,35,27
428,71.5,270.5,1,36,30
428,90.5,215.5,1,21,21
428,187.5,163.5,1,36,23
428,205.5,194.5,1,64,23
428,361.5,86.5,1,27,29
428,452.5,143.5,0,85,26
430,0.5,374.5,1,230,106
430,2.5,345.5,0,24,21
430,83.5,251.5,0,29,32
432,614.5,66.5,0,30,31
433,231.5,192.5,1,41,28
433,352.5,267.5,0,89,22
433,404.5,223.5,0,60,42
434,392.5,11.5,0,47,39
434,630.5,390.5,1,90,90
434,687.5,220.5,0,30,39
436,246.5,22.5,1,38,25
436,304.5,32.5,1,25,23
436,355.5,21.5,1,136,91
436,492.5,58.5,1,37,28
436,546.5,102.5,0,62,38
437,471.5,297.5,0,101,32
437,658.5,291.5,1,62,38
438,0.5,160.5,0,29,178
438,0.5,292.5,0,104,104
438,1.5,95.5,0,187,203
438,392.5,61.5,1,32,26
439,35.5,0.5,0,70,24
440,40.5,133.5,0,122,49
440,44.5,55.5,1,33,32
440,589.5,145.5,0,105,35
441,482.5,192.5,0,70,31
443,387.5,67.5,1,37,34
445,600.5,341.5,0,35,26
446,0.5,110.5,1,95,64
447,0.5,258.5,0,55,43
447,444.5,192.5,0,38,29
448,641.5,88.5,1,26,24
449,174.5,109.5,0,67,69
449,241.5,100.5,0,91,76
449,482.5,54.5,0,69,36
